City ID,City Name,Country,Latitude,Longitude,Hemisphere,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
1604767,yasothon,TH,15.75,104.13,North,86.9,89,20,3.36
1734705,kuala terengganu,MY,5.33,103.14,North,84.06,79,40,3.36
3085450,slupsk,PL,54.46,17.03,North,55.99,94,100,8.19
3374083,bathsheba,BB,13.22,-59.52,North,80.6,78,75,12.75
2063030,port pirie,AU,-33.18,138.02,South,68,34,40,12.75
352733,marsa matruh,EG,31.35,27.25,North,77,83,0,6.93
2630299,hofn,IS,64.25,-15.21,North,51.04,75,100,18.66
2185786,okaihau,NZ,-35.32,173.78,South,60.01,43,1,14
2014078,urusha,RU,54.05,122.9,North,67.69,52,30,2.44
779261,kjollefjord,NO,70.95,27.35,North,51.17,77,100,7.11
3424901,aasiaat,GL,68.71,-52.87,North,30.81,98,85,4.34
2063042,port hedland,AU,-20.32,118.57,South,89.6,32,32,11.41
2156927,moree,AU,-29.47,149.85,South,77,33,0,14.99
1684606,taganak,PH,6.08,118.3,North,87.4,66,40,4.7
5826027,gillette,US,44.29,-105.5,North,71.8,13,1,10.29
